point_of_sale_id,geo_zone,country
411,Provincia de Buenos Aires,AR
412,Provincia de Buenos Aires,AR
413,Provincia de Buenos Aires,AR
414,Santa Fe,AR
415,Santa Fe,AR
416,Provincia de Buenos Aires,AR
417,Provincia de Buenos Aires,AR
418,Provincia de Buenos Aires,AR
419,Santa Fe,AR
420,Provincia de Buenos Aires,AR
421,Provincia de Buenos Aires,AR
422,Provincia de Buenos Aires,AR
423,Córdoba,AR
424,Provincia de Buenos Aires,AR
425,Provincia de Buenos Aires,AR
426,San Luis,AR
427,San Luis,AR
428,Buenos Aires,AR
429,Córdoba,AR
430,Provincia de Buenos Aires,AR
431,Catamarca,AR
432,Santa Fe,AR
433,Provincia de Córdoba,AR
434,CABA,AR
435,CABA,AR
436,Provincia de Buenos Aires,AR
437,Provincia de Buenos Aires,AR
438,Santa Fe,AR
439,Provincia de Buenos Aires,AR
440,Tucumán,AR
441,Provincia de Buenos Aires,AR
442,Provincia de Buenos Aires,AR
443,Santa Fe,AR
444,Provincia de Córdoba,AR
445,Córdoba,AR
446,San Luis,AR
447,Córdoba,AR
448,Córdoba,AR
449,Córdoba,AR
450,Catamarca,AR
451,Catamarca,AR
452,Catamarca,AR
453,Catamarca,AR
454,Catamarca,AR
455,Catamarca,AR
456,Catamarca,AR
457,Tucumán,AR
458,Salta,AR
459,Catamarca,AR
460,Salta,AR
461,Catamarca,AR
462,Río Negro,AR
463,Río Negro,AR
464,Río Negro,AR
465,Río Negro,AR
466,Río Negro,AR
467,Río Negro,AR
468,Río Negro,AR
469,Río Negro,AR
470,San Juan,AR
471,Provincia de Buenos Aires,AR
472,Salta,AR
473,Salta,AR
474,Provincia de Buenos Aires,AR
475,Buenos Aires,AR
476,Río Negro,AR
477,Río Negro,AR
478,Buenos Aires,AR
479,Provincia de Buenos Aires,AR
480,Provincia de Córdoba,AR
481,San Luis,AR
482,Buenos Aires,AR
483,Santa Cruz,AR
484,Tierra del Fuego,AR
485,Tierra del Fuego,AR
486,Tierra del Fuego,AR
487,Provincia de Buenos Aires,AR
488,Chaco,AR
489,Chaco,AR
490,Chaco,AR
491,Chaco,AR
492,Chaco,AR
493,Chaco,AR
494,Córdoba,AR
495,Córdoba,AR
496,Córdoba,AR
497,Córdoba,AR
498,Provincia de Buenos Aires,AR
499,Córdoba,AR
500,Córdoba,AR
501,Provincia de Buenos Aires,AR
502,Provincia de Buenos Aires,AR
503,Provincia de Buenos Aires,AR
504,Santa Cruz,AR
505,Santa Cruz,AR
506,Neuquén,AR
507,Provincia de Buenos Aires,AR
508,Buenos Aires,AR
509,Buenos Aires,AR
510,Buenos Aires,AR
511,Santa Cruz,AR
512,Santa Cruz,AR
513,Córdoba,AR
514,Santa Cruz,AR
515,Santa Fe,AR
516,Santa Cruz,AR
517,Córdoba,AR
518,Buenos Aires,AR
519,La Pampa,AR
520,La Pampa,AR
521,La Pampa,AR
522,La Pampa,AR
523,La Pampa,AR
524,La Pampa,AR
525,La Pampa,AR
526,La Pampa,AR
527,Santa Fe,AR
528,Provincia de Santa Fe,AR
529,Provincia de Santa Fe,AR
530,Provincia de Santa Fe,AR
531,Provincia de Santa Fe,AR
532,Provincia de Santa Fe,AR
533,Provincia de Santa Fe,AR
534,Santa Fe,AR
535,Santa Cruz,AR
536,Santa Cruz,AR
537,Córdoba,AR
538,Córdoba,AR
539,Córdoba,AR
540,Córdoba,AR
541,Córdoba,AR
542,Provincia de Buenos Aires,AR
543,Córdoba,AR
544,Córdoba,AR
545,Provincia de Buenos Aires,AR
546,Córdoba,AR
547,San Luis,AR
548,San Luis,AR
549,Córdoba,AR
550,Córdoba,AR
551,Córdoba,AR
552,Provincia de Buenos Aires,AR
553,Provincia de Buenos Aires,AR
554,San Luis,AR
555,Tucumán,AR
556,Buenos Aires,AR
557,Provincia de Buenos Aires,AR
558,Santa Fe,AR
559,Salta,AR
560,San Luis,AR
561,Santa Cruz,AR
562,Santa Cruz,AR
563,Santa Cruz,AR
564,Santa Cruz,AR
565,Santa Cruz,AR
566,Santa Cruz,AR
567,Santa Cruz,AR
568,Santa Cruz,AR
569,Provincia de Buenos Aires,AR
570,San Luis,AR
571,San Luis,AR
572,Provincia de Buenos Aires,AR
573,Provincia de Buenos Aires,AR
574,San Luis,AR
575,San Luis,AR
576,Santa Cruz,AR
577,Provincia de Buenos Aires,AR
578,Santa Cruz,AR
579,Provincia de Buenos Aires,AR
580,Córdoba,AR
581,Córdoba,AR
582,San Luis,AR
583,Provincia de Buenos Aires,AR
584,Provincia de Buenos Aires,AR
585,Santa Cruz,AR
586,Salta,AR
587,Santa Fe,AR
588,Córdoba,AR
589,Córdoba,AR
590,Córdoba,AR
591,Provincia de Córdoba,AR
592,Provincia de Córdoba,AR
593,Córdoba,AR
594,Provincia de Buenos Aires,AR
595,Buenos Aires,AR
596,Provincia de Buenos Aires,AR
597,Provincia de Buenos Aires,AR
598,Río Negro,AR
599,Río Negro,AR
600,CABA,AR
601,CABA,AR
602,Provincia de Buenos Aires,AR
603,Córdoba,AR
604,Córdoba,AR
605,San Luis,AR
606,La Pampa,AR
607,Santa Fe,AR
608,Córdoba,AR
609,Provincia de Buenos Aires,AR
610,Río Negro,AR
611,Santa Fe,AR
612,Provincia de Buenos Aires,AR
613,Provincia de Santa Fe,AR
614,Provincia de Buenos Aires,AR
615,Río Negro,AR
616,Santa Fe,AR
617,Córdoba,AR
618,Córdoba,AR
619,Córdoba,AR
620,Córdoba,AR
621,Córdoba,AR
622,Santa Fe,AR
623,Santa Fe,AR
624,Río Negro,AR
625,La Pampa,AR
626,San Luis,AR
627,Santa Fe,AR
628,Santa Fe,AR
629,Santa Fe,AR
630,Provincia de Buenos Aires,AR
631,Santa Fe,AR
632,Santiago del Estero,AR
633,Santa Fe,AR
634,Neuquén,AR
635,Córdoba,AR
636,CDMX,MX
637,Córdoba,AR
638,Río Negro,AR
639,Córdoba,AR
640,Santa Fe,AR
641,Provincia de Buenos Aires,AR
642,La Pampa,AR
643,San Luis,AR
644,Santa Fe,AR
645,Provincia de Buenos Aires,AR
646,Provincia de Buenos Aires,AR
647,Provincia de Buenos Aires,AR
648,Provincia de Buenos Aires,AR
649,Provincia de Buenos Aires,AR
650,Neuquén,AR
651,Entre Ríos,AR
652,Río Negro,AR
653,Santa Fe,AR
654,Santa Fe,AR
655,Buenos Aires,AR
656,San Luis,AR
657,Santa Fe,AR
658,San Juan,AR
659,Provincia de Buenos Aires,AR
660,Buenos Aires,AR
661,Coahuila de Zaragoza,MX
662,Provincia de Buenos Aires,AR
663,Mendoza,AR
664,Chubut,AR
665,San Luis,AR
666,Neuquén,AR
667,Mendoza,AR
668,Córdoba,AR
669,Mendoza,AR
670,Neuquén,AR
671,Río Negro,AR
672,Chubut,AR
673,Chubut,AR
674,Jujuy,AR
675,Santa Fe,AR
676,Buenos Aires Province,AR
677,Chubut,AR
678,Buenos Aires,AR
679,Provincia de Buenos Aires,AR
680,Provincia de Buenos Aires,AR
681,Chaco,AR
682,Entre Ríos,AR
683,Provincia de Buenos Aires,AR
684,Provincia de Buenos Aires,AR
685,Provincia de Buenos Aires,AR
686,Provincia de Buenos Aires,AR
687,Provincia de Buenos Aires,AR
688,Santa Fe,AR
689,Provincia de Buenos Aires,AR
690,Santa Fe,AR
691,Buenos Aires,AR
692,Provincia de Buenos Aires,AR
693,Santiago del Estero,AR
694,Santiago del Estero,AR
695,Santiago del Estero,AR
696,Santiago del Estero,AR
697,Santiago del Estero,AR
698,Buenos Aires,AR
699,Provincia de Buenos Aires,AR
700,Santiago del Estero,AR
701,Santiago del Estero,AR
702,Santiago del Estero,AR
703,Santiago del Estero,AR
704,Santiago del Estero,AR
705,Santiago del Estero,AR
706,Santiago del Estero,AR
707,Santa Fe,AR
708,Provincia de Buenos Aires,AR
709,Buenos Aires,AR
710,Provincia de Buenos Aires,AR
711,Buenos Aires,AR
712,Santa Fe,AR
713,Provincia de Buenos Aires,AR
714,Provincia de Buenos Aires,AR
